community_slug,town,query,query_variant,query_rank,candidate_rank,candidate_name,latitude,longitude,country,country_code,admin1,admin2,timezone,population,geocoding_id,geocoding_source,auto_match_status,auto_match_reason,review_status
ada,Ada,Ada,exact,1,3,Ada,5.786330,-2.164720,Ghana,GH,Western Region,Wassa Amenfi East,Africa/Accra,,2306018,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
ada,Ada,Ada,exact,1,4,Ada,5.774160,0.633770,Ghana,GH,Greater Accra Region,,Africa/Accra,,2306019,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
ada,Ada,Ada,exact,1,5,Ada,5.359250,-0.839630,Ghana,GH,Central Region,Gomoa West,Africa/Accra,,2306020,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
ada-foah,Ada Foah,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
adabraka,Adabraka,Adabraka,exact,1,1,Adabraka,5.559850,-0.212700,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2303722,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
adenta,Adenta,Adenta,exact,1,1,Adenta,5.714170,-0.154180,Ghana,GH,Greater Accra Region,Adenta,Africa/Accra,50652,7648641,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
adenta,Adenta,Adenta,exact,1,2,Adentan,5.699460,-0.166470,Ghana,GH,Greater Accra Region,Adenta,Africa/Accra,,2305907,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
adjei-kojo,Adjei Kojo,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
afienya,Afienya,Afienya,exact,1,1,Afienya,5.801560,0.005550,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2305683,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
afuaman,Afuaman,Afuaman,exact,1,1,Afuaman,5.634690,-0.355330,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,2305639,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
agbogba,Agbogba,Agbogba,exact,1,1,Agbogba,5.691630,-0.199970,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,2305577,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
agbogbloshie,Agbogbloshie,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
airport-kotoka-area,Airport (Kotoka area),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
airport-hills,Airport Hills,Airport Hills,exact,1,1,Airport Hills Residential Area,5.617100,-0.141480,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456991,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
airport-hills,Airport Hills,"Airport Hills, Greater Accra",greater_accra,2,1,Airport Hills Residential Area,5.617100,-0.141480,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456991,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
airport-residential,Airport Residential,Airport Residential,exact,1,1,Airport Residential Area,5.606440,-0.183670,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456982,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
airport-residential,Airport Residential,"Airport Residential, Greater Accra",greater_accra,2,1,Airport Residential Area,5.606440,-0.183670,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456982,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
akorli-down,Akorli Down,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
akrade-border,Akrade (border),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
akweteyman,Akweteyman,Akweteyman,exact,1,1,Akweteyman,5.611000,-0.250810,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2304359,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
alajo,Alajo,Alajo,exact,1,1,Alajo,5.595610,-0.217910,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2304908,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
alajo-eastern-sections,Alajo (eastern sections),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
amasaman,Amasaman,Amasaman,exact,1,1,Amasaman,5.707110,-0.301550,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,2304810,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
amasaman-border,Amasaman (border),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
amasaman-road-area,Amasaman Road area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
anyaa,Anyaa,Anyaa,exact,1,1,Anyaa,5.600490,-0.296100,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,11204606,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
anyaa,Anyaa,Anyaa,exact,1,2,Anyaame,4.900460,-2.089180,Ghana,GH,Western Region,Ahanta West,Africa/Accra,,11718085,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
apenkwa,Apenkwa,Apenkwa,exact,1,1,Apenkwa,5.720060,-0.148550,Ghana,GH,Greater Accra Region,Adenta,Africa/Accra,,2304358,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
apenkwa,Apenkwa,Apenkwa,exact,1,2,Apenkwa,5.606880,-0.239080,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8469581,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
ashaiman-main-town,Ashaiman (main town),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ashaiman-underbridge,Ashaiman Underbridge,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ashalaja,Ashalaja,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ashongman,Ashongman,Ashongman,exact,1,1,Ashongman,5.710500,-0.233590,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,11497784,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
asutuare-border,Asutuare (border),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
asylum-down,Asylum Down,Asylum Down,exact,1,1,Asylum Down,5.566840,-0.207230,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456977,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
atico,Atico,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
atomic-madina,Atomic Madina,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
atomic-roundabout,Atomic Roundabout,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
avenor,Avenor,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
awudome,Awudome,Awudome,exact,1,1,Awudome Estate,5.568340,-0.226860,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8457207,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
awudome,Awudome,"Awudome, Greater Accra",greater_accra,2,1,Awudome Estate,5.568340,-0.226860,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8457207,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
awoshie,awoshie,awoshie,exact,1,1,Awoshi,5.583850,-0.277870,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,32426,8457205,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
awoshie,awoshie,"awoshie, Greater Accra",greater_accra,2,1,Awoshi,5.583850,-0.277870,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,32426,8457205,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
ayawaso,Ayawaso,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ayi-mensa,Ayi Mensa,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
azizakpe-island,Azizakpe Island,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
baah-yard,Baah Yard,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
baatsona,Baatsona,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
baba-yara-area,Baba Yara area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
bansa,Bansa,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
bel-aqua,Bel Aqua,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
berlin-bridge-nima,Berlin Bridge (Nima),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
big-ada,Big Ada,Big Ada,exact,1,1,Big Ada,5.823240,0.614280,Ghana,GH,Greater Accra Region,Ada East,Africa/Accra,,2303041,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
boi,Boi,Boi,exact,1,1,Boi,5.722510,-0.216470,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,2302873,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
boi,Boi,Boi,exact,1,2,Boiya,6.791290,-1.345260,Ghana,GH,Ashanti Region,Sekyere East,Africa/Accra,,2302861,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
boi,Boi,Boi,exact,1,3,Boifi,5.659890,-0.817960,Ghana,GH,Central Region,Agona West,Africa/Accra,,2302870,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
boi,Boi,Boi,exact,1,4,Boifi,5.666670,-0.800000,Ghana,GH,Central Region,Agona West,Africa/Accra,,2302871,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
boi,Boi,Boi,exact,1,5,Boifi,5.534300,-0.766620,Ghana,GH,Central Region,Agona West,Africa/Accra,,2302872,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
borteyman,Borteyman,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
bukom,Bukom,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
burma-camp,Burma Camp,Burma Camp,exact,1,1,Burma Camp,5.596420,-0.154960,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2302401,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
cantonments,Cantonments,Cantonments,exact,1,1,Cantonments,5.581230,-0.175720,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456967,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
choice,Choice,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
chorkor,Chorkor,Chorkor,exact,1,1,Chorkor,5.526910,-0.242150,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8457027,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
christian-village,Christian Village,Christian Village,exact,1,1,Christian Village,5.631730,-0.221540,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2302148,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
christian-village-drain,Christian Village drain,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-1-harbour-industrial,Community 1 (Harbour/Industrial),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-10,Community 10,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-11,Community 11,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-12,Community 12,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-14,Community 14,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-18,Community 18,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-19,Community 19,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-2,Community 2,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-20,Community 20,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-22,Community 22,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-22-shared-border,Community 22 (shared border),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-25-parts,Community 25 (parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-3,Community 3,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-4,Community 4,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-5,Community 5,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-6,Community 6,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-7,Community 7,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-8,Community 8,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
community-9,Community 9,Community 9,exact,1,1,Community 9,5.677480,-0.018480,Ghana,GH,Greater Accra Region,Tema Metropolitan District,Africa/Accra,,11397282,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
d-k-poison-alajo,D.K. Poison (Alajo),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
dakyibi-river-catchment,Dakyibi River catchment,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
dansoman,Dansoman,Dansoman,exact,1,1,Dansoman,5.555060,-0.272480,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2300038,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
dansoman-junction,Dansoman Junction,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
darkuman,Darkuman,Darkuman,exact,1,1,Darkuman,5.591720,-0.252370,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8457011,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
darkuman-junction,Darkuman Junction,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
dawhenya,Dawhenya,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
dodowa,Dodowa,Dodowa,exact,1,1,Dodowa,5.881140,-0.098730,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2301665,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
dodowa,Dodowa,Dodowa,exact,1,2,Dodowa Anwiam,6.574420,-2.429580,Ghana,GH,Ahafo,Asunafo South,Africa/Accra,,12107197,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
dodowa,Dodowa,Dodowa,exact,1,3,Dodowa Nkwanta,6.672330,-2.318030,Ghana,GH,Ashanti Region,Atwima Mponua,Africa/Accra,,12093866,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
dome,Dome,Dome,exact,1,1,Dome,5.650030,-0.236100,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,48285,2301639,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
dome,Dome,Dome,exact,1,2,Domi,7.049110,-1.491880,Ghana,GH,Ashanti Region,Sekyere South,Africa/Accra,,2301613,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
dome,Dome,Dome,exact,1,3,Domi,6.018280,-0.530100,Ghana,GH,Eastern Region,Ayensuano,Africa/Accra,,2301618,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
dome,Dome,Dome,exact,1,4,Dome,6.621270,0.442590,Ghana,GH,Volta Region,Ho,Africa/Accra,,2301634,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
dome,Dome,Dome,exact,1,5,Dome,6.600000,0.466670,Ghana,GH,Volta Region,Ho,Africa/Accra,,2301635,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
dome-eastern-parts,Dome (eastern parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
dome-crossing,Dome crossing,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
domeabra,Domeabra,Domeabra,exact,1,1,Domeabra,8.066600,-1.768730,Ghana,GH,Bono East,Kintampo North Municipal District,Africa/Accra,,2301572,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
domeabra,Domeabra,Domeabra,exact,1,2,Domeabra,7.055600,-1.933830,Ghana,GH,Ashanti Region,Ahafo Ano South,Africa/Accra,,2301574,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
domeabra,Domeabra,Domeabra,exact,1,3,Domeabra,6.934210,-1.556900,Ghana,GH,Ashanti Region,Sekyere South,Africa/Accra,,2301575,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
domeabra,Domeabra,Domeabra,exact,1,4,Dameabra,6.868260,-2.053460,Ghana,GH,Ashanti Region,Ahafo Ano South,Africa/Accra,,2301576,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
domeabra,Domeabra,Domeabra,exact,1,5,Domeabra,6.679790,-1.511980,Ghana,GH,Ashanti Region,Kumasi,Africa/Accra,,2301581,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
domeabra,Domeabra,"Domeabra, Greater Accra",greater_accra,2,1,Domeabra,5.599340,-0.390020,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,2301599,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
doryumu,Doryumu,Doryumu,exact,1,1,Doyum,5.900550,0.021840,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2301512,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
doryumu,Doryumu,"Doryumu, Greater Accra",greater_accra,2,1,Doyum,5.900550,0.021840,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2301512,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
dzorwulu,Dzorwulu,Dzorwulu,exact,1,1,Dzorwulu Residential Area,5.611460,-0.204980,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456983,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
dzorwulu,Dzorwulu,"Dzorwulu, Greater Accra",greater_accra,2,1,Dzorwulu Residential Area,5.611460,-0.204980,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456983,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
east-cantonments,East Cantonments,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
east-legon,East Legon,East Legon,exact,1,1,East Legon Residential Area,5.632850,-0.164730,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8541925,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
east-legon,East Legon,"East Legon, Greater Accra",greater_accra,2,1,East Legon Residential Area,5.632850,-0.164730,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8541925,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
fiesta-royale-area,Fiesta Royale area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
fishing-harbour-area,Fishing Harbour area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
frafraha,Frafraha,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ga-mashie,Ga Mashie,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
gaec-road-area,GAEC Road area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
gbawe,Gbawe,Gbawe,exact,1,1,Gbawe,5.576920,-0.310380,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,86718,2300721,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
glefe,Glefe,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
graphic-road,Graphic Road,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
graphic-road-area,Graphic Road area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
greda-estate,Greda Estate,Greda Estate,exact,1,1,Greda Estate,5.612300,-0.105640,Ghana,GH,Greater Accra Region,Ledzekuku-Krowor,Africa/Accra,,11054695,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
greda-estate,Greda Estate,Greda Estate,exact,1,2,Greda Estates,5.619830,-0.092870,Ghana,GH,Greater Accra Region,Ledzekuku-Krowor,Africa/Accra,,8456999,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
hajj-village,Hajj Village,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
hatatso,Hatatso,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
james-town,James Town,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
jelil-estate-junction,Jelil Estate Junction,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
